Society,Bibtext,Reference,Full_reference,D-PLACE,notes
CARNEIRO6_014_Schilluk,howellandthomson1946,Howell & Thomson 1946,"Howell, P. P., and Thomson, W. P. G. 1946. The death of a Reth of the Shilluk and the installation of his successor. Sudan Notes and Records, 27, 5–85.",,
CARNEIRO6_014_Schilluk,howellandudal1953,Howell & Udal 1953,"Howell, P. P., and Udal, J. O. 1953. The election and installation of Reth Kur Wad Fafiti of the Shilluk. Sudan Notes and Records, 34(2), 189–204.",,
CARNEIRO6_014_Schilluk,munro1918,Munro 1918,"Munro, P. 1918. Installation of the Ret of the Chol (King of the Shilluks). Sudan Notes and Records, 1(3), 145-152.",,
CARNEIRO6_014_Schilluk,oyler1918a,Oyler 1918a,"Oyler, D. S. 1918a. Nikawng and the Shilluk migration. Sudan Notes and Records, 1(2), 107-115.",,
CARNEIRO6_014_Schilluk,oyler1918b,Oyler 1918b,"Oyler, D. S. 1918b. Nikawng's place in the Shilluk religion. Sudan Notes and Records, 1(4), 283-292.",,
CARNEIRO6_014_Schilluk,oyler1919,Oyler 1919,"Oyler, D. S. 1919. The Shilluk's Belief In The Evil Eye, The Evil Medicine Man. Sudan notes and records, 2(2), 122-137.",,
CARNEIRO6_014_Schilluk,oyler1920,Oyler 1920,"Oyler, D. S. 1920. The Shilluk's belief in the good medicine men. Sudan notes and records, 3(2), 110-116.",,
CARNEIRO6_014_Schilluk,oyler1926,Oyler 1926,"Oyler, D. S. 1926. Shilluk notes. Sudan notes and records, 9(1), 57-68.",,
CARNEIRO6_014_Schilluk,paul1952,Paul 1952,"Paul, A. 1952. The Mar of the Shilluk. Sudan Notes and Records, 33(1), 165–166.",,
CARNEIRO6_014_Schilluk,pumphrey1937,Pumphrey 1937,"Pumphrey, M. E. C. 1937. Shilluk"" royal"" language conventions. Sudan Notes and Records, 20(2), 319-321.",,
CARNEIRO6_014_Schilluk,pumphrey1941,Pumphrey 1941,"Pumphrey, M. E. C. 1941. The Shilluk Tribe. Sudan Notes and Records 24. 1-45.",https://d-place.org/sources/pumphrey1941,
CARNEIRO6_014_Schilluk,schweinfurth1874,Schweinfurth 1874,"Schweinfurth, G. 1874. The Heart of Africa. Volume 1. New York: Harper & brothers",https://d-place.org/sources/schweinfurth1874,The same for Azande
CARNEIRO6_014_Schilluk,seligman1957,Seligman 1957,"Seligman, C. G. 1957. Races of Africa. London: Oxford University Press.",,
CARNEIRO6_014_Schilluk,di1922,D. I. 1922,"D. I. 1922. Conspiracy against the Mek of the Shilluks in 1917. Sudan Notes and Records, 5(2), 111.",,
CARNEIRO6_014_Schilluk,anonymous1956,Anonymous 1956,"Anonymous 1956. Installation Of A New Shilluk King. Sudan Notes and Records, 37, 99–101.",,
CARNEIRO6_014_Schilluk,westermann1912,Westermann 1912,"Westermann, D. 1912. The Shilluk People. Philadelphia: Board of Foreign Missions of the United Presbyterian Church of N. A.",https://d-place.org/sources/westermann1912,
CARNEIRO6_014_Schilluk,lienhardt1954,Lienhardt 1954,"Lienhardt, G. 1954. The Shilluk of the Upper Nile. African Worlds, 138-163. London: Oxford University Press for the International African Institute.",https://d-place.org/sources/lienhardt1954,
CARNEIRO6_014_Schilluk,wright1951,Wright 1951,"Wright, J. W. 1951. The White Nile and the Sobat. Sudan Notes and Records 32(1), 113-130.",,
CARNEIRO6_015_Mru,loffler1967,Löffler 1967,"Löffler, L. G. (1967). Field notes from field work in 1955, 1957, 1964, 1965. Unpublished.",,
CARNEIRO6_016_Mangareva,buck1938,Buck 1938,"Buck, P. H. 1938. Ethnology of Mangareva. Bernice P. Bishop Museum Bulletin 157. Honolulu: Bernice P. Bishop Museum.",https://d-place.org/sources/buck1938,
CARNEIRO6_016_Mangareva,beechey1831,Beechey 1831,"Beechey, F. W. 1831. Narrative of a Voyage to the Pacific and Beering's Strait. Volume I. London: Henry Colburn and Richard Bentley.",,
CARNEIRO6_016_Mangareva,emory1939,Emory 1939,"Emory, K. P. 1939. Archaeology of Mangareva and Neighboring Atolls. Bernice P. Bishop Museum Bulletin 163. Honolulu: Bernice P. Bishop Museum.",,
CARNEIRO6_016_Mangareva,smith1918,Smith 1918,"Smith, S. P. 1918. Notes on the Mangareva, or Gambier group of islands, Eastern Polynesia. The Journal of the Polynesian Society 27, 3(107), 115-131.",,
CARNEIRO6_016_Mangareva,andersen1928,Andersen 1928,"Andersen, J. C. 1928. Myths and Legends of the Polynesians. New York: Farrar & Rinehart.",,
CARNEIRO6_016_Mangareva,laval1938,Laval 1938,"Laval, H. 1938. Mangareva. L'histoire ancienne d'un peuple polynésien. Braine-le-Compte: Maison des Peres des Sacres-Coeurs.",https://d-place.org/sources/laval1938,
CARNEIRO6_017_Creek,swanton1928a,Swanton 1928a,"Swanton, J. R. 1928a. Religious Beliefs and Medical Practices of the Creek Indians. Annual Reports of the Bureau of American Ethnology 42. 473-672.",https://d-place.org/sources/swanton1928a,
CARNEIRO6_017_Creek,swanton1928c,Swanton 1928c,"Swanton, J. R. 1928c. Social Organization and Social Usages of the Indians of the Creek Confederacy. Annual Reports of the Bureau of American Ethnology 42. 23-472, 859-900.",https://d-place.org/sources/swanton1928c,
CARNEIRO6_017_Creek,swanton1928d,Swanton 1928d,"Swanton, J. R. 1928d. Aboriginal Culture of the Southeast. Annual Reports of the Bureau of American Ethnology 42. 673-726.",,
CARNEIRO6_017_Creek,swanton1946,Swanton 1946,"Swanton, J. R. 1946. The Indians of the Southeastern United States. Bulletins of the Bureau of American Ethnology 137. 1-943.",https://d-place.org/sources/swanton1946,
CARNEIRO6_017_Creek,swanton1915,Swanton 1915,"Swanton, J. R. (1915). The Social Significance of the Creek Confederacy. Proceedings of the International Congress of Americanists 19, 327-334.",,
CARNEIRO6_018_Ao_Naga,mills1926,Mills 1926,"Mills, J. P. 1926. The Ao Nagas. Macmillan and Co.",https://d-place.org/sources/mills1926,
CARNEIRO6_018_Ao_Naga,smith1925b,Smith 1925,"Smith, W. C. 1925. The Ao Naga Tribe of Assam. Macmillan and Co.",https://d-place.org/sources/smith1925b,
,,,,,
CARNEIRO6_020_Futuna,burrows1936,Burrows 1936,"Burrows, E. G. (1936). Ethnology of Futuna. Bernice P Bishop Museum Bulletin 138, 1-239.",https://d-place.org/sources/burrows1936,
,,,,,
CARNEIRO6_022_Masai,hindeandhinde1901,Hinde & Hinde 1901,"Hinde, S. L. and Hinde, H. 1901. The Last of the Masai. London: William Heinemann.",,
CARNEIRO6_022_Masai,hollis1905,Hollis 1905,"Hollis, A. C. 1905. The Masai: Their Language and Folklore. Oxford: Clarendon Press.",https://d-place.org/sources/hollis1905,
CARNEIRO6_022_Masai,koenig1956,Koenig 1956,"Koenig, O. 1956. The Masai Story. London: Michael Joseph.",,
CARNEIRO6_022_Masai,fosbrooke1948,Fosbrooke 1948,"Fosbrooke, H. A. 1948. An Administrative Survey of the Masai Social System. Tanganyika Notes and Records 26, 1-50.",https://d-place.org/sources/fosbrooke1948,
CARNEIRO6_022_Masai,hollis1910,Hollis 1910,"Hollis, A. C. 1910. A Note on Masai System of Relationship and Other Matters Connected Therewith. The Journal of the Royal Anthropological Institute of Great Britain and Ireland 40, 473-482.",,
CARNEIRO6_022_Masai,leakey1930,Leakey 1930,"Leakey, L. S. B. 1930. Some Notes on the Masai of Kenya Colony. The Journal of the Royal Anthropological Institute of Great Britain and Ireland 60, 185-209.",,
CARNEIRO6_022_Masai,fox1930,Fox 1930,"Fox, D. S. 1930. Further Notes on the Masai of Kenya Colony. The Journal of the Royal Anthropological Institute of Great Britain and Ireland 60, 447-465.",,
CARNEIRO6_022_Masai,maguire1928,Maguire 1928,"Maguire, R. A. J. 1928. The Masai Penal Code. Journal of the Royal African Society 28(109), 12-18.",,
CARNEIRO6_022_Masai,forde1948,Forde 1948,"Forde, C. D. 1948. Habitat, economy and society: a geographical introduction to ethnology. London: Methuen.",,
CARNEIRO6_022_Masai,krapf1860,Krapf 1860,"Krapf, J. L. 1860. Travels, researches and missionary labours during an eighteen years' residence in Eastern Africa. London: Trübner & Co.",,
CARNEIRO6_022_Masai,huntingford1953b,Huntingford 1953,"Huntingford, G. W. B. 1953. The Southern Nilo-Hamites. London: Oxford Univ. Press, International African Inst.",https://d-place.org/sources/huntingford1953b,
CARNEIRO6_022_Masai,thomson1887,Thomson 1887,"Thomson, J. 1887. Through Masai Land. London: Sampson Low, Marston, Searle, & Rivington.",,
CARNEIRO6_022_Masai,orrandgilks1931,Orr & Gilks 1931,"Orr, J. B., and Gilks, J. L. 1931. Studies in nutrition: the physique and health of two African tribes. London: H.M. Stationery Office",,
CARNEIRO6_023_Iroquois,morgan1901,Morgan 1901,"Morgan, L. H. 1901.League of the Ho-De-No-Sau-Nee or Iroquois. 2 Volumes. New York: Dodd, Mead and Co.",https://d-place.org/sources/morgan1901,
CARNEIRO6_023_Iroquois,noon1949,Noon 1949,"Noon, J. A. 1949. Law and Government of the Ground River Iroquois. New York: Viking Fund Publications.",https://d-place.org/sources/noon1949,
CARNEIRO6_023_Iroquois,schoolcraft1847,Schoolcraft 1847,"Schoolcraft, H. R. 1847. Notes on the Iroquois. Albany: Erastus H. Pease and Co.",,
,,,,,
CARNEIRO6_025_Nootka,colson1953,Colson 1953,"Colson, E. 1953. The Makah Indians. Minneapolis: University of Minnesota Press.",https://d-place.org/sources/colson1953,
CARNEIRO6_025_Nootka,cook1785,Cook 1784,"Cook, J. 1784. A Voyage to the Pacific Ocean. London.",https://d-place.org/sources/cook1785,different year
CARNEIRO6_025_Nootka,drucker1965,Drucker 1965,"Drucker, P. 1965. Cultures of the North Pacific Coast. San Francisco: Chandler.",https://d-place.org/sources/drucker1965,
CARNEIRO6_025_Nootka,drucker1951,Drucker 1951,"Drucker, P. 1951. The Northern and Central Nootkan Tribes. Washington: Government Printing Office.",https://d-place.org/sources/drucker1951,
CARNEIRO6_025_Nootka,sproat1868,Sproat 1868,"Sproat, G. M. 1868. Scenes and Studies of Savage Life. London: Smith Elder & Co.",,
CARNEIRO6_025_Nootka,jewitt1815,Jewitt 1815,"Jewitt, J. R. 1815. A Journal Kept at Nootka Sound.",,
CARNEIRO6_025_Nootka,swan1868,Swan 1868,"Swan, J. G. 1868. Indians of Cape Flattery. Washington: Smithsonian Institution.",https://d-place.org/sources/swan1868,
CARNEIRO6_025_Nootka,koppert1930b,Koppert 1930,"Koppert, V. A. 1930. Contributions to Clayoquot Ethnology. Washington: Catholic University of America.",https://d-place.org/sources/koppert1930b,
CARNEIRO6_025_Nootka,galianoandvaldes1930,Galiano & Valdés 1930,"Galiano, A. D., Valdés, C. 1930. A Spanish Voyage to Vancouver and the North-West Coast of America. London: The Argonaut Press.",,
CARNEIRO6_025_Nootka,boas1890,Boas 1890,"Boas, F. 1890. The Nootka. In Report of the British Association for the Advancement of Science, 582-604, 668-679. London: John Murray.",,
CARNEIRO6_025_Nootka,newcombe1909,Newcombe 1909,"Newcombe, C. F. 1909. Guide to Anthropological Collection in the Provincial Museum. Victoria: R. Wolfenden.",,
CARNEIRO6_025_Nootka,bancroft1875,Bancroft 1875,"Bancroft, H. H. 1875. Native Races of the Pacific States of North America. New York: D. Appleton & Co.",,
CARNEIRO6_025_Nootka,swadesh1948,Swadesh 1948,"Swadesh, M. 1948. Motivations in Nootka Warfare. Southwestern Journal of Anthropology, 4(1), 76-93.",,
CARNEIRO6_026_Mandan,bowers1950,Bowers 1950,"Bowers, A. W. 1950. Mandan Social and Ceremonial Organization. University of Chicago Press.",https://d-place.org/sources/bowers1950,
CARNEIRO6_026_Mandan,willandspinden1906,Will & Spinden 1906,"Will, G. F. & Spinden, H. J. 1906. The Mandans. Papers of the Peabody Museum 3(4). Cambridge, Mass.: The Museum.",https://d-place.org/sources/willandspinden1906,
CARNEIRO6_026_Mandan,deland1908,DeLand 1908,"DeLand, C. E. 1908. The Aborigines of South Dakota: The Mandan. South Dakota Historical Collections 4, 275-730.",,
CARNEIRO6_027_Callinago,taylor1938,Taylor 1938,"Taylor, D. 1938. The Caribs of Dominica. Bulletins of the Bureau of American Ethnology 119. Washington, D.C.: Smithsonian Institution.",https://d-place.org/sources/taylor1938,
CARNEIRO6_027_Callinago,taylor1946,Taylor 1946,"Taylor, D. 1946. Kinship and Social Structure of the Island Carib. Southwestern Journal of Anthropology 2. 180-212.",https://d-place.org/sources/taylor1946,
CARNEIRO6_027_Callinago,taylor1951,Taylor 1951,"Taylor, D. 1951. The Black Carib of British Honduras. Viking Fund Publ. Anth. 17. 1-176. New York: Viking Fund Publications in Anthropology, no. 17.",https://d-place.org/sources/taylor1951,
CARNEIRO6_027_Callinago,delaborde1886,de la Borde 1886,"de la Borde, P. 1886. History of the origin, customs, religion, wars and travels of the Caribs, Savages of the Antilles in America. Volume 5. Timehri.",,
CARNEIRO6_027_Callinago,rochefortnd,Rochefort [?],"Rochefort, C. [?]. Histoire Morale des Îles Antilles",,
CARNEIRO6_027_Callinago,rosny1886,Rosny 1886,"Rosny, L. 1886. Mémoires de la Société d'ethnographie. Volume 2. Paris.",,
CARNEIRO6_027_Callinago,labatnd,Labat [?],"Labat, J. B. [?]. Voyages.",,
CARNEIRO6_027_Callinago,loven1935,Lovén 1935,"Lovén S. 1935. Origins of the Tainan culture, West Indians. Go?teberg: Elanders boktryckeri aktiebolag.",,
CARNEIRO6_027_Callinago,ober1880,Ober 1880,Ober F. A. 1880. Camps in the Caribbees: The Adventures of a Naturalist in the Lesser Antilles. Boston: Lee and Shepard.,,
CARNEIRO6_027_Callinago,macnutt1912,MacNutt 1912,"MacNutt F. A, 1912. De Orbe Novo: The Eight Decades of Peter Martyr D'Anghera. New York: G.P. Putnam's Sons.",,
CARNEIRO6_027_Callinago,rouse1948a,Rouse 1948a,"Rouse, I. 1948a. The Arawak In J. H. Steward (Ed.), Handbook of South American Indians: The Circum-Caribbean Tribes (pp. 507-546). Washington, D.C.: Smithsonian Institution.",https://d-place.org/sources/rouse1948a,incollection - instead of article
CARNEIRO6_027_Callinago,rouse1948b,Rouse 1948b,"Rouse, I. 1948b. The Carib. In J. H. Steward (Ed.), Handbook of South American Indians: The Circum-Caribbean Tribes (pp. 547-565). Washington, D.C.: Smithsonian Institution.",https://d-place.org/sources/rouse1948b,incollection - instead of article
CARNEIRO6_027_Callinago,steward1948,Steward 1948,"Steward, J. H. 1948. The Circum-Caribbean Tribes: An Introduction. In J. H. Steward (Ed.), Handbook of South American Indians: The Circum-Caribbean Tribes (pp. 1-41). Washington, D.C.: Smithsonian Institution.",,
CARNEIRO6_027_Callinago,dutertre1667,Du Tertre 1667,"Du Tertre, J. B. 1667. Histoire générale des Antilles habitées par les François.",https://d-place.org/sources/dutertre1667,
CARNEIRO6_028_Trobriands,malinowski1922,Malinowski 1922,"Malinowski, B. 1922. Argonauts of the Western Pacific. London: George Routledge and Sons.",https://d-place.org/sources/malinowski1922,
CARNEIRO6_028_Trobriands,malinowski1926,Malinowski 1926,"Malinowski, B. 1926. Crime and Custom in Savage Society. New York: Harcourt, Brace.",https://d-place.org/sources/malinowski1926,
CARNEIRO6_028_Trobriands,malinowski1929,Malinowski 1929,"Malinowski, B. 1929. The Sexual Life of Savages in Northwestern Melanesia. New York: Horace Liveright.",https://d-place.org/sources/malinowski1929,
CARNEIRO6_028_Trobriands,malinowski1920,Malinowski 1920,"Malinowski, B. 1920. War and weapons among the natives of the Trobriand Islands. Man 20, 10-12.",https://d-place.org/sources/malinowski1920,article instead of book
CARNEIRO6_028_Trobriands,malinowski1935,Malinowski 1935,"Malinowski, B. 1935. Coral Gardens and Their Magic. New York: American Book Company.",https://d-place.org/sources/malinowski1935,
CARNEIRO6_028_Trobriands,malinowski1954,Malinowski 1954,"Malinowski, B. 1954. Magic, science and religion, and other essays. Garden City, N.Y.: Doubleday.",,
CARNEIRO6_028_Trobriands,seligmann1910,Seligmann 1910,"Seligmann, G. G. 1910. Melanesians of British New Guinea. Cambridge: University Press.",https://d-place.org/sources/seligmann1910,
CARNEIRO6_029_Kiwai,landtman1927,Landtman 1927,"Landtman, G. 1927. The Kiwai Papuans of British New Guinea. London: MacMillan.",https://d-place.org/sources/landtman1927,
CARNEIRO6_029_Kiwai,beaver1920,Beaver 1920,"Beaver, W. N. 1920. Unexplored New Guinea. Philadelphia: J. P. Lipincott.",,
CARNEIRO6_030_Mala,ivens1930,Ivens 1928,"Ivens, W. G. (1928). The Island Builders of the Pacific. Philadelphia: J. B. Lippincott.",https://d-place.org/sources/ivens1930,
CARNEIRO6_030_Mala,russell1950,Russell 1950,"Russell, T. (1950). The Fataleka of Malaita. Oceania 21(1), 1-13.",,
CARNEIRO6_031_Hottentots,schapera1930,Schapera 1930,"Schapera, I. (1930). The Khoisan Peoples of South Africa: Bushmen and Hottentots. London: George Routledge and Sons.",https://d-place.org/sources/schapera1930,
CARNEIRO6_031_Hottentots,schapera1956,Schapera 1956,"Schapera, I. (1956). Government and politics in tribal societies. London: Watts.",,
CARNEIRO6_032_Navajo,curtis1907,Curtis 1907,"Curtis, E. S. (1907). The North American Indian. Volume 1. Cambridge: The University Press.",,
CARNEIRO6_032_Navajo,reichard1950,Reichard 1950,Reichard G. A. (1950). Navaho religion: a study of symbolism. Volumes 1-2. New York: Pantheon Books.,,
CARNEIRO6_032_Navajo,kluckhohnandleighton1946,Kluckhohn & Leighton 1962,"Kluckhohn, C. & Leighton, D. C. (1962). The Navaho. Garden City, NY: Doubleday.",https://d-place.org/sources/kluckhohnandleighton1946,
CARNEIRO6_032_Navajo,reichard1928,Reichard 1928,"Reichard, G. A. (1928). Social Life of the Navajo Indians. Columbia University Contributions to Anthropology 7. New York:  Columbia University Press.",https://d-place.org/sources/reichard1928,
CARNEIRO6_032_Navajo,franciscanfathers1910,Franciscan Fathers 1910,"Franciscan Fathers (1910). An ethnologic dictionary of the Navaho language. Saint Michaels, Ariz.: Franciscan Fathers.",,
CARNEIRO6_032_Navajo,hill1936,Hill 1936,"Hill, W. W. (1936). Navaho warfare. New Haven: Yale University Press.",,
CARNEIRO6_032_Navajo,dyk1947,Dyk 1947,"Dyk, W. (1947). A Navaho autobiography. Viking Fund Publications in Anthropology. New York.",,
,,,,,
CARNEIRO6_034_Manobo,garvan1931,Garvan 1931,"Garvan, J. M. 1931. The Manóbos of Mindanáo. Memoirs of National Academy of Sciences 23. Washinton, D.C.: National Academy of Science.https://d-place.org/sources/garvan1931",https://d-place.org/sources/garvan1931,slightly different title
CARNEIRO6_035_Atayal,asai1950,Asai 1950,"Asai, E. 1950. Social Structure of the Tribes in Formosa. Unpublished lecture given at Yale.",NA,
CARNEIRO6_035_Atayal,guerinandbernard1868,Guérin & Bernard 1868,"Guérin, M., Bernard, J. 1868. Les Aborigčnes de l'île de Formose. In ""Bulletin de la Société de Géographie"", 5th series, Volume 15, 542-568. Paris.",NA,
CARNEIRO6_035_Atayal,hagenauer1929,Hagenauer 1929,"Hagenauer, C. 1929. Les Tayal de Formose. In ""Bulletin de la Maison Franco-Japonaise, Serie Francaise"", Volume 2, 25-46. Tokyo.",NA,
CARNEIRO6_035_Atayal,wiedfeldt1914,Wiedfeldt 1914,"Wiedfeldt, O. 1914. Wirtschaftliche, Rechtliche Und Soziale Grundtatsachen und Grundformen der Atayalen auf Formosa. In ""Mitteilungen der Deutschen Gesellschaft für Natur- und Völkerkunde Ostasiens"", Volume 15, 7-55. Tokyo.",NA,
CARNEIRO6_035_Atayal,mcgovern1922,McGovern 1922,"McGovern, J. B. M. 1922. Among the Head-Hunters of Formosa. Boston: Small, Maynard & Co.",NA,
CARNEIRO6_036_Todas,rivers1906,Rivers 1932,"Rivers, W. H. R. (1932). The Todas. London: Macmillan and Co. Ltd.",https://d-place.org/sources/rivers1906,
CARNEIRO6_036_Todas,murdock1934,Murdock 1934,"Murdock, G. P. (1934). The Todas of Southern India. In Our Primitive Contemporaries (pp. 107-134). New York: Macmillan.",,"incollection instead of book, specific chapter"
CARNEIRO6_036_Todas,marshall1873,Marshall 1873,"Marshall, W. E. (1873). Travels amongst the Todas. London: Longmans, Green and Co.",https://d-place.org/sources/marshall1873,different book
CARNEIRO6_036_Todas,thurston1909,Thurston 1909,"Thurston, E. (1909). Toda. In Castes And Tribes Of Southern India, Volume 7 (pp. 116-167). Madras: Government Press.",,
CARNEIRO6_037_Nuer,evanspritchard1940b,Evans-Pritchard 1940,"Evans-Pritchard, E. E. (1940). The Nuer. Oxford: Clarendon Press.",https://d-place.org/sources/evanspritchard1940b,
CARNEIRO6_037_Nuer,seligmanandseligman1932,Seligman & Seligman 1932,"Seligman, C. S. & Seligman, B. Z. (1932). Pagan tribes of the Nilotic Sudan. London: George Routledge & Sons, Ltd.",https://d-place.org/sources/seligmanandseligman1932,
CARNEIRO6_037_Nuer,evanspritchard1956,Evans-Pritchard 1956,"Evans-Pritchard, E. E. (1956). The Nuer Religion. Oxford: Clarendon Press.",,
CARNEIRO6_037_Nuer,howell1954,Howell 1954,"Howell, P. P. (1954). A manual of Nuer law. London: Oxford University Press.",,
CARNEIRO6_037_Nuer,santandrea1944,Santandrea 1944-1945,"Santandrea, S. (1944-1945). The Luo of the Bahr el Ghazal. In ""Annali Lateranensi"" (various volumes)",,
CARNEIRO6_038_Tolowa,gouldperscommnd,Gould [?],"Gould, R. A. [?]. Pers. comm.",,
,,,,,
CARNEIRO6_040_Omaha,fletcherandlaflesche1911,Fletcher & La Flesche 1911,"Fletcher, A. C. & La Flesche, F. (1911). The Omaha Tribe. Annual Reports of the Bureau of American Ethnology 27. 17-672.",https://d-place.org/sources/fletcherandlaflesche1911,
CARNEIRO6_040_Omaha,bushnell1927,Bushnell 1927,"Bushnell, D. I. (1927). Burials of the Algonquian, Siouan and Caddoan tribes west of the Mississippi. Washington: Smithsonian Institution.",,
CARNEIRO6_040_Omaha,dorsey1896,Dorsey 1896,"Dorsey, J. O. (1896). Omaha dwelling, furniture, and implements. Thirteenth annual report of the Bureau of Ethnology, 1891-92, 263-288.",,
CARNEIRO6_040_Omaha,dorsey1894,Dorsey 1894,"Dorsey, J. O. (1894). A study of Siouan cults. Eleventh annual report of the Bureau of Ethnology, 1889-1890, 351-544.",,
CARNEIRO6_040_Omaha,dorsey1884,Dorsey 1884,"Dorsey, J. O. (1884). Omaha Sociology. Annual Reports of the Bureau of American Ethnology 3. 205-320.",https://d-place.org/sources/dorsey1884,
CARNEIRO6_040_Omaha,lowie1954,Lowie 1954,"Lowie, R. H. (1954). Indians of the Plains. New York: American Museum of Natural History.",,
CARNEIRO6_040_Omaha,bushnell1922,Bushnell 1922,"Bushnell, D. I. (1922). Villages of the Algonquian, Siouan and Caddoan tribes west of the Mississippi. Washington: Smithsonian Institution.",https://d-place.org/sources/bushnell1922,
CARNEIRO6_040_Omaha,james1823,James 1823,"James, E. (1823). Account of an Expedition from Pittsburgh to the Rocky Mountains, performed in the years 1819, 1820. London: Longman, Hurst, Rees, Orme and Brown.",,
CARNEIRO6_041_Delaware,newcomb1956,Newcomb 1956,"Newcomb, W. W. Jr. (1956). The Culture and Acculturation of the Delaware. Anth. Pap. Mus. Anth. Univ. Michigan 10. 1-141.",https://d-place.org/sources/newcomb1956,
CARNEIRO6_041_Delaware,harrington1921,Harrington 1921,"Harrington, M. R. (1921). Religion and Ceremonies of the Lenape. Heye Foundation.",,
CARNEIRO6_041_Delaware,skinner1909,Skinner 1909,"Skinner, A. (1909). The Lenape Indians of Staten Island. Anthr. Papers Amer. Mus. Nat. His vol. 3, New York.",,
CARNEIRO6_041_Delaware,wallace1947a,Wallace 1947,"Wallace, A. F. C. (1947). Woman, Land, and Society: Three Aspects of Aboriginal Delaware Life. Pennsylvania Archaeologist 17. 1-35.",https://d-place.org/sources/wallace1947a,
CARNEIRO6_041_Delaware,macleod1922,MacLeod 1922,"MacLeod, W. C. (1922). The Family Hunting Territory and Lenápe Political Organization. American Anthropologist 24(4), 448-463.",,
CARNEIRO6_042_Tupinamba,lery1880,Léry [?],"Léry, J [?]. Histoire d'un voyage faict en la terre du Brésil.",https://d-place.org/sources/lery1880,
CARNEIRO6_042_Tupinamba,abbeville1614,Abbeville 1614,"Abbeville, C. d'. 1614. Histoire de la Mission des Peres Capucins en l'Isle de Maragnan et terres circonuoisines. Paris: L'Imprimérie de François Huby.",https://d-place.org/sources/abbeville1614,
CARNEIRO6_042_Tupinamba,metraux1948c,Métraux 1948,"Metraux, A. 1948. The Tupinamba. In J. H. Steward (Ed.), Handbook of South American Indians: The Tropical Forest Tribes (pp. 95-133). Washington: Smithsonian Institution.",https://d-place.org/sources/metraux1948c,incollection instead of misc
CARNEIRO6_042_Tupinamba,staden1928,Staden 1928,"Staden, H. 1928. The True Story of His Captivity. London: G. Routledge & Sons.",https://d-place.org/sources/staden1928,
CARNEIRO6_042_Tupinamba,pinto1938,Pinto 1938,"Pinto, P. 1938. Os Indigenas do nordeste. Volume 2. Sao Paulo.",,
CARNEIRO6_042_Tupinamba,metraux1950,Métraux 1950,"Metraux, A. 1950. A religiăo dos Tupinambás. Sao Paulo.",,
CARNEIRO6_043_Cayapa,barrett1925,Barrett 1925,"Barrett, S. A. 1925. The Cayapa Indians of Ecuador. Volumes 1-2. Indian Notes and Monographs 40. 1-476. New York: Haye Foundation.",https://d-place.org/sources/barrett1925,
,,,,,
CARNEIRO6_045_Kutenai,chamberlain1892,Chamberlain 1892,"Chamberlain, A. F. (1892). Report on the Kootenay Indians of South-Eastern British Columbia. Reports of the British Association forthe Advancement of Science 62, 549-617.",https://d-place.org/sources/chamberlain1892,
CARNEIRO6_045_Kutenai,turneyhigh1941,Turney-High 1941,"Turney-High, H. H. (1941). Ethnography of the Kutenai. (Memoirs of the American Anthropological Association 56) Menasha, Wisc.: American Anthropological Association.",https://d-place.org/sources/turneyhigh1941,
CARNEIRO6_045_Kutenai,curtis1911,Curtis 1911,"Curtis, E. S. (1911). The North American Indian. Volume 7. New York:",,
CARNEIRO6_045_Kutenai,chamberlain1905,Chamberlain 1905,"Chamberlain, A. F. (1905). The Kootenay Indian. Annual Archaeological Report Ontario.",,
CARNEIRO6_046_Tehuelche,falkner1935,Falkner 1935,"Falkner, T. (1935). A description of Patagonia and the Adjoining Parts of South America. Chicago: Armann & Armann.",,
CARNEIRO6_046_Tehuelche,coan1880,Coan 1880,"Coan, T. (1880). Adventures in Patagonia: a missionary's exploring trip (Vol. 2). New Yorks: Dodd, Mead & Co.",,
CARNEIRO6_047_Abipones,dobrizhoffer1822,Dobrizhoffer 1822,"Dobrizhoffer, M. (1822). An Account of the Abipones (Volumes I-III). London: John Murray.",https://d-place.org/sources/dobrizhoffer1822,
CARNEIRO6_048_Guarani,machon1898,Machon 1898,"Machon, F. (1898). The Cainguá of Paraguay. Popular Science Monthly 52, 400-405.",,
CARNEIRO6_048_Guarani,metraux1928,Métraux 1928,"Métraux, A. (1928). La civilisation matérielle des tribus Tupi-Guarani. Paris: P. Geuthner.",,
CARNEIRO6_048_Guarani,metraux1948d,Métraux 1948,"Métraux, A. (1948). The Guaraní. In J. H. Steward (Ed.), Handbook of South American Indians: The Tropical Forest Tribes (pp. 69-94). Washington: Smithsonian Institution.",,
CARNEIRO6_048_Guarani,radin1942,Radin 1942,"Radin, P. (1942). Indians of South America. Garden City, N.Y.: Doubleday, Doran & Co.",,
CARNEIRO6_048_Guarani,service1951,Service 1951,"Service, E. R. (1951). The encomienda in Paraguay. The Hispanic American Historical Review, 31(2), 230-252.",,
CARNEIRO6_048_Guarani,service1954,Service 1954,"Service, E. R. (1954). Spanish-Guarani Relations in Early Colonial Paraguay. Ann Arbor: University of Michigan Press.",,
CARNEIRO6_048_Guarani,watson1947,Watson 1947,"Watson, V. D. (1947). Ciudad Real: A Guarani-Spanish site on the alto Paraná river. American Antiquity, 13(2), 163-176.",,
